"","HCR_name","beta","2018","2019","2020","2021","2022","2023","2028","2038","stat_name"
"1","Btarget0-Blimit0-Bban0",1,31000,16000,36000,52000,63000,69000,72000,71000,"catch.mean"
"2","Btarget0-Blimit0-Bban0",0.9,31000,15000,34000,50000,62000,69000,72000,71000,"catch.mean"
"3","Btarget0-Blimit0-Bban0",0.8,31000,14000,32000,48000,61000,68000,71000,71000,"catch.mean"
"4","Btarget0-Blimit0-Bban0",0.7,31000,12000,30000,46000,59000,66000,70000,70000,"catch.mean"
"5","Btarget0-Blimit0-Bban0",0.6,31000,11000,27000,42000,56000,63000,68000,68000,"catch.mean"
"6","Btarget0-Blimit0-Bban0",0.5,31000,9000,24000,38000,51000,59000,65000,65000,"catch.mean"
"7","Btarget0-Blimit1-Bban0",1,31000,20000,33000,48000,61000,68000,72000,71000,"catch.mean"
"8","Btarget0-Blimit1-Bban0",0.9,31000,19000,31000,47000,60000,67000,72000,71000,"catch.mean"
"9","Btarget0-Blimit1-Bban0",0.8,31000,17000,30000,46000,59000,67000,71000,71000,"catch.mean"
"10","Btarget0-Blimit1-Bban0",0.7,31000,15000,28000,44000,57000,65000,70000,70000,"catch.mean"
"11","Btarget0-Blimit1-Bban0",0.6,31000,14000,25000,41000,54000,63000,68000,68000,"catch.mean"
"12","Btarget0-Blimit1-Bban0",0.5,31000,12000,23000,37000,50000,59000,65000,65000,"catch.mean"
"13","Btarget1-Blimit0-Bban0",1,31000,20000,40000,53000,63000,68000,71000,70000,"catch.mean"
"14","Btarget1-Blimit0-Bban0",0.9,31000,18000,38000,53000,64000,69000,71000,71000,"catch.mean"
"15","Btarget1-Blimit0-Bban0",0.8,31000,16000,36000,52000,63000,69000,72000,71000,"catch.mean"
"16","Btarget1-Blimit0-Bban0",0.7,31000,15000,34000,50000,62000,68000,72000,71000,"catch.mean"
"17","Btarget1-Blimit0-Bban0",0.6,31000,13000,31000,47000,60000,67000,71000,71000,"catch.mean"
"18","Btarget1-Blimit0-Bban0",0.5,31000,11000,28000,44000,57000,64000,69000,69000,"catch.mean"
"19","Btarget1-Blimit1-Bban0",1,31000,24000,35000,47000,59000,66000,71000,70000,"catch.mean"
"20","Btarget1-Blimit1-Bban0",0.9,31000,23000,34000,48000,60000,67000,71000,71000,"catch.mean"
"21","Btarget1-Blimit1-Bban0",0.8,31000,21000,33000,48000,61000,68000,72000,71000,"catch.mean"
"22","Btarget1-Blimit1-Bban0",0.7,31000,19000,31000,47000,60000,67000,72000,71000,"catch.mean"
"23","Btarget1-Blimit1-Bban0",0.6,31000,17000,29000,45000,59000,66000,71000,71000,"catch.mean"
"24","Btarget1-Blimit1-Bban0",0.5,31000,14000,26000,42000,56000,64000,69000,69000,"catch.mean"
"25","Btarget0-Blimit0-Bban0",1,0,0,0,0,12,30,47,47,"Pr(SSB>SSBtarget)"
"26","Btarget0-Blimit0-Bban0",0.9,0,0,0,1,29,65,72,72,"Pr(SSB>SSBtarget)"
"27","Btarget0-Blimit0-Bban0",0.8,0,0,0,1,48,79,88,93,"Pr(SSB>SSBtarget)"
"28","Btarget0-Blimit0-Bban0",0.7,0,0,0,3,63,92,97,100,"Pr(SSB>SSBtarget)"
